ds,y
1578690900000,110.0
1578691800000,108.0
1578692700000,107.0
1578693600000,108.0
1578694500000,107.0
1578695400000,107.0
1578696300000,108.0
1578697200000,107.0
1578698100000,107.0
1578699000000,108.0
1578699900000,108.0
1578700800000,109.0
1578701700000,120.0
1578702600000,110.0
1578703500000,108.0
1578704400000,108.0
1578705300000,108.0
1578706200000,107.0
1578707100000,107.0
1578708000000,107.0
1578708900000,107.0
1578709800000,107.0
1578710700000,107.0
1578711600000,107.0
1578712500000,107.0
1578713400000,108.0
1578714300000,110.0
1578715200000,120.0
1578716100000,116.0
1578717000000,107.0
1578717900000,108.0
1578718800000,109.0
1578719700000,108.0
1578720600000,107.0
1578721500000,108.0
1578722400000,107.0
1578723300000,57.0
1578724200000,58.0
1578725100000,57.0
1578726000000,57.0
1578726900000,58.0
1578727800000,57.0
1578728700000,65.0
1578729600000,69.0
1578730500000,59.0
1578731400000,54.0
1578732300000,51.0
1578733200000,39.0
1578734100000,0.0
1578735000000,0.0
1578735900000,42.0
1578736800000,505.0
1578737700000,500.0
1578738600000,501.0
1578739500000,506.0
1578740400000,503.0
1578741300000,497.0
1578742200000,494.0
1578743100000,502.0
1578744000000,416.0
1578744900000,105.0
1578745800000,1.0
1578746700000,0.0
1578747600000,0.0
1578748500000,0.0
1578749400000,0.0
1578750300000,0.0
1578751200000,0.0
1578752100000,0.0
1578753000000,0.0
1578753900000,0.0
1578754800000,0.0
1578755700000,22.0
1578756600000,48.0
1578757500000,58.0
1578758400000,57.0
1578759300000,48.0
1578760200000,50.0
1578761100000,51.0
1578762000000,53.0
1578762900000,54.0
1578763800000,56.0
1578764700000,56.0
1578765600000,57.0
1578766500000,57.0
1578767400000,57.0
1578768300000,57.0
1578769200000,57.0
1578770100000,57.0
1578771000000,61.0
1578771900000,120.0
1578772800000,116.0
1578773700000,108.0
1578774600000,108.0
1578775500000,109.0
1578776400000,108.0
1578777300000,108.0
1578778200000,108.0
1578779100000,107.0
1578780000000,108.0
1578780900000,107.0
1578781800000,108.0
1578782700000,107.0
1578783600000,107.0
1578784500000,108.0
1578785400000,113.0
1578786300000,120.0
1578787200000,107.0
1578788100000,108.0
1578789000000,108.0
1578789900000,108.0
1578790800000,108.0
1578791700000,107.0
1578792600000,107.0
1578793500000,107.0
1578794400000,107.0
1578795300000,108.0
1578796200000,106.0
1578797100000,107.0
1578798000000,108.0
1578798900000,107.0
1578799800000,113.0
1578800700000,119.0
1578801600000,113.0
1578802500000,108.0
1578803400000,107.0
1578804300000,108.0
1578805200000,108.0
1578806100000,107.0
1578807000000,108.0
1578807900000,107.0
1578808800000,107.0
1578809700000,57.0
1578810600000,57.0
1578811500000,57.0
1578812400000,57.0
1578813300000,58.0
1578814200000,62.0
1578815100000,69.0
1578816000000,64.0
1578816900000,56.0
1578817800000,53.0
1578818700000,49.0
1578819600000,35.0
1578820500000,1.0
1578821400000,0.0
1578822300000,0.0
1578823200000,0.0
1578824100000,0.0
1578825000000,0.0
1578825900000,0.0
1578826800000,72.0
1578827700000,465.0
1578828600000,464.0
1578829500000,441.0
1578830400000,410.0
1578831300000,396.0
1578832200000,265.0
1578833100000,240.0
1578834000000,249.0
1578834900000,253.0
1578835800000,258.0
1578836700000,200.0
1578837600000,101.0
1578838500000,92.0
1578839400000,66.0
1578840300000,0.0
1578841200000,0.0
1578842100000,13.0
1578843000000,38.0
1578843900000,54.0
1578844800000,51.0
1578845700000,41.0
1578846600000,44.0
1578847500000,48.0
1578848400000,50.0
1578849300000,52.0
1578850200000,55.0
1578851100000,57.0
1578852000000,56.0
1578852900000,56.0
1578853800000,56.0
1578854700000,56.0
1578855600000,56.0
1578856500000,56.0
1578857400000,56.0
1578858300000,115.0
1578859200000,119.0
1578860100000,109.0
1578861000000,107.0
1578861900000,107.0
1578862800000,107.0
1578863700000,107.0
1578864600000,106.0
1578865500000,107.0
1578866400000,106.0
1578867300000,106.0
1578868200000,107.0
1578869100000,106.0
1578870000000,107.0
1578870900000,106.0
1578871800000,107.0
1578872700000,111.0
1578873600000,113.0
1578874500000,118.0
1578875400000,114.0
1578876300000,113.0
1578877200000,108.0
1578878100000,108.0
1578879000000,107.0
1578879900000,108.0
1578880800000,107.0
1578881700000,108.0
1578882600000,108.0
1578883500000,107.0
1578884400000,107.0
1578885300000,107.0
1578886200000,107.0
1578887100000,108.0
1578888000000,118.0
1578888900000,120.0
1578889800000,107.0
1578890700000,108.0
1578891600000,108.0
1578892500000,108.0
1578893400000,107.0
1578894300000,108.0
1578895200000,106.0
1578896100000,57.0
1578897000000,56.0
1578897900000,57.0
1578898800000,57.0
1578899700000,200.0
1578900600000,195.0
1578901500000,193.0
1578902400000,198.0
1578903300000,216.0
1578904200000,198.0
1578905100000,186.0
1578906000000,268.0
1578906900000,918.0
1578908700000,1820.0
1578911400000,2677.0
1578912300000,1006.0
1578913200000,1188.0
1578914100000,1229.0
1578915000000,1300.0
1578915900000,1326.0
1578916800000,1301.0
1578917700000,1261.0
1578918600000,1379.0
1578919500000,1242.0
1578920400000,1192.0
1578921300000,1254.0
1578922200000,1136.0
1578923100000,1167.0
1578924000000,1154.0
1578924900000,1435.0
1578925800000,1549.0
1578926700000,1435.0
1578927600000,1526.0
1578928500000,1507.0
1578929400000,1525.0
1578930300000,1532.0
1578931200000,1510.0
1578932100000,1494.0
1578933000000,1310.0
1578934800000,2178.0
1578935700000,974.0
1578937500000,2733.0
1578938400000,984.0
1578939300000,833.0
1578940200000,790.0
1578941100000,478.0
1578942000000,330.0
1578942900000,252.0
1578943800000,287.0
1578944700000,410.0
1578945600000,164.0
1578946500000,154.0
1578947400000,154.0
1578948300000,154.0
1578949200000,154.0
1578950100000,153.0
1578951000000,127.0
1578951900000,123.0
1578952800000,122.0
